,dhs_id,site_id,site_name,latitude,longitude,rural_urban,country,country_id,continent_id,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,positive,pr,species,method,rdt_type,pcr_type,malaria_metrics_available,location_available,permissions_info,citation1,citation2,citation3
15800,,13975,Njala Komboya,8.2,-11.468,RURAL,Sierra Leone,SLE,Africa,3,1990,3,1990,0,7,208,129,0.6202,P. falciparum,Microscopy,,,true,true,,"Barnish, G., Maude, G.H., Bockarie, M.J., Erunkulu, O.A., Dumbuya, M.S. and Greenwood, B.M. (1993).  <b>Malaria in a rural area of Sierra Leone. II. Parasitological and related results from pre- and post-rains clinical surveys.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(2):137-48",,
15801,,13975,Njala Komboya,8.2,-11.468,RURAL,Sierra Leone,SLE,Africa,11,1990,12,1990,0,7,190,99,0.5211,P. falciparum,Microscopy,,,true,true,,"Barnish, G., Maude, G.H., Bockarie, M.J., Erunkulu, O.A., Dumbuya, M.S. and Greenwood, B.M. (1993).  <b>Malaria in a rural area of Sierra Leone. II. Parasitological and related results from pre- and post-rains clinical surveys.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(2):137-48",,
15802,,13974,Mendewa,8.166,-11.484,RURAL,Sierra Leone,SLE,Africa,3,1990,3,1990,0,7,81,49,0.6049,P. falciparum,Microscopy,,,true,true,,"Barnish, G., Maude, G.H., Bockarie, M.J., Erunkulu, O.A., Dumbuya, M.S. and Greenwood, B.M. (1993).  <b>Malaria in a rural area of Sierra Leone. II. Parasitological and related results from pre- and post-rains clinical surveys.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(2):137-48",,
15803,,13974,Mendewa,8.166,-11.484,RURAL,Sierra Leone,SLE,Africa,11,1990,12,1990,0,7,90,48,0.5333,P. falciparum,Microscopy,,,true,true,,"Barnish, G., Maude, G.H., Bockarie, M.J., Erunkulu, O.A., Dumbuya, M.S. and Greenwood, B.M. (1993).  <b>Malaria in a rural area of Sierra Leone. II. Parasitological and related results from pre- and post-rains clinical surveys.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(2):137-48",,
15804,,14201,Lwanika,0.65,33.6833,UNKNOWN,Uganda,UGA,Africa,12,1993,12,1993,1,14,96,14,0.1458,P. falciparum,Microscopy,,,true,true,,"Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ",,
15805,,14201,Lwanika,0.65,33.6833,UNKNOWN,Uganda,UGA,Africa,12,1994,12,1994,1,14,56,34,0.6071,P. falciparum,Microscopy,,,true,true,,"Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ",,
15806,,14208,Jinja (Police Barracks),0.44,33.206,URBAN,Uganda,UGA,Africa,11,2002,12,2002,0,4,228,32,0.1404,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15807,,14208,Jinja (Police Barracks),0.44,33.206,URBAN,Uganda,UGA,Africa,6,2003,6,2003,0,4,232,59,0.2543,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15808,,14209,Jinja (Loco Estate),0.419,33.219,URBAN,Uganda,UGA,Africa,11,2002,12,2002,0,4,152,54,0.3553,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15809,,14209,Jinja (Loco Estate),0.419,33.219,URBAN,Uganda,UGA,Africa,6,2003,6,2003,0,4,176,64,0.3636,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15810,,14219,Kampala (Kikulu),0.3646,32.594,URBAN,Uganda,UGA,Africa,11,2002,11,2002,0,4,151,38,0.2517,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15811,,14219,Kampala (Kikulu),0.3646,32.594,URBAN,Uganda,UGA,Africa,6,2003,6,2003,0,4,150,27,0.18,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15813,,14218,Kampala (Kitebi),0.294,32.544,URBAN,Uganda,UGA,Africa,6,2003,6,2003,0,4,204,47,0.2304,P. falciparum,Microscopy,,,true,true,,"Lindsay, S. (2003). <i>First year summary report: Development of a community-based environmental management program for malaria conrol in Kampala and Jinja, Uganda.</i> Activity Report no. 122. Washington, D.C.. Environmental Health Project. 1-52",,
15814,,13098,Atcherigbe,7.566,2.049,RURAL,Benin,BEN,Africa,6,1989,7,1989,0,15,142,132,0.9296,P. falciparum,Microscopy,,,true,true,,"Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",,
15815,,13209,Matchika,5.6333,20.7666,UNKNOWN,Central African Republic,CAF,Africa,1,1994,1,1994,5,22,87,66,0.7586,P. falciparum,Microscopy,,,true,true,, (1994). <i>Étude prospective des indices paludométriques chez des enfants d'un village de la région de Bambari.</i> UNKNOWN. Université de Bangui: Faculté des Sciences de la Santé. Bangui. .,,
15818,,14119,Lambo,-3.6466,37.6281,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,34,4,0.1176,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15819,,14067,Emmao,-4.5758,38.2455,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,78,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15820,,14067,Emmao,-4.5758,38.2455,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,56,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15821,,14118,Kilomeni,-3.762,37.6552,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,146,2,0.0137,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15822,,14118,Kilomeni,-3.762,37.6552,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,60,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15823,,14079,Tewe,-4.5133,38.3476,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,162,34,0.2099,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15824,,14079,Tewe,-4.5133,38.3476,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,92,26,0.2826,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15825,,14069,Handei,-4.6067,38.3279,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,158,24,0.1519,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15826,,14069,Handei,-4.6067,38.3279,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,142,42,0.2958,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15827,,14124,Mokala,-3.1915,37.5853,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,172,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15829,,14124,Mokala,-3.1915,37.5853,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,112,8,0.0714,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15830,,14080,Ubiri,-4.8425,38.3219,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,152,20,0.1316,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15831,,14080,Ubiri,-4.8425,38.3219,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,158,44,0.2785,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15832,,14066,Mpinji,-4.3821,37.964,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,156,4,0.0256,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15833,,14066,Mpinji,-4.3821,37.964,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,156,4,0.0256,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15834,,14065,Kadando,-4.3085,38.0565,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,164,42,0.2561,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15835,,14065,Kadando,-4.3085,38.0565,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,152,14,0.0921,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15836,,14064,Goha (lower),-4.3898,37.9991,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,158,20,0.1266,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15837,,14064,Goha (lower),-4.3898,37.9991,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,148,12,0.0811,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15838,,14073,Kwemasimba,-5.1068,38.4263,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,158,38,0.2405,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15839,,14073,Kwemasimba,-5.1068,38.4263,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,160,46,0.2875,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15840,,14074,Magamba,-4.7493,38.2977,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,156,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15841,,14074,Magamba,-4.7493,38.2977,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,160,2,0.0125,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15842,,14068,Funta,-4.906,38.4556,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,156,24,0.1538,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15843,,14068,Funta,-4.906,38.4556,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,158,78,0.4937,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15844,,14063,Bwambo,-4.3621,37.9395,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,160,4,0.025,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15845,,14063,Bwambo,-4.3621,37.9395,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,160,2,0.0125,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15846,,14075,Mgila,-5.0179,38.4894,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,158,54,0.3418,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15847,,14075,Mgila,-5.0179,38.4894,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,162,104,0.642,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15848,,14078,Tamota,-4.9351,38.4909,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,162,28,0.1728,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15849,,14078,Tamota,-4.9351,38.4909,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,164,44,0.2683,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15850,,14122,Kileo,-3.4757,37.5688,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,164,8,0.0488,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15851,,14122,Kileo,-3.4757,37.5688,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,158,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15852,,14077,Mn'galo,-4.5395,38.4027,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,166,82,0.494,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15853,,14077,Mn'galo,-4.5395,38.4027,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,142,72,0.507,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15854,,14123,Machame Aleni,-3.227,37.6098,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,166,4,0.0241,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15855,,14123,Machame Aleni,-3.227,37.6098,RURAL,Tanzania,TZA,Africa,4,2002,5,2002,0,4,150,0,0,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
15856,,14121,Ikuini,-3.1795,37.6588,RURAL,Tanzania,TZA,Africa,10,2001,11,2001,0,4,172,4,0.0233,P. falciparum,Microscopy,,,true,true,,"Drakeley, C.J., Carneiro, I., Reyburn, H., Malima, R., Lusingu, J.P., Cox, J., Theander, T.G., Nkya, W.M., Lemnge, M.M. and Riley, E.M. (2005).  <b>Altitude-dependent and -independent variations in <i>Plasmodium falciparum</i> prevalence in northeastern Tanzania.</b> <i>The Journal of Infectious Diseases</i>, <b>191</b>(10):1589-98","Drakeley, C.J., . (2005) personal communication.",
